gsurl,class
gs://tamucc_coastline/esi_images/IMG_7264_SecMO_Sum12_Pt3.jpg,10D
gs://tamucc_coastline/esi_images/IMG_5607_SecJMO_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7404_SecG_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_2867_SecOPQ_Sum12_Pt3.jpg,6A
gs://tamucc_coastline/esi_images/IMG_2339_SecABD_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_8236_SecAB_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6035_SecJMO_Sum12_Pt3.jpg,6B
gs://tamucc_coastline/esi_images/IMG_9662_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_0871_SecABD_Sum12_Pt1.jpg,7
gs://tamucc_coastline/esi_images/IMG_8082_SecAB_Spr12.jpg,3A
gs://tamucc_coastline/esi_images/IMG_1608_SecOP_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_0519_SecOP_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_0061_SecMO_Sum12_Pt3.jpg,6A
gs://tamucc_coastline/esi_images/IMG_1550_SecABD_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_2006_SecHKL_Sum12_Pt2.jpg,6A
gs://tamucc_coastline/esi_images/IMG_6412_SecFG2_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_8670_SecAB_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5742_SecFG2_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_8211_SecQN_Sum12_Pt3.jpg,10B
gs://tamucc_coastline/esi_images/IMG_1924_SecEGH_Sum12_Pt2.jpg,8A
gs://tamucc_coastline/esi_images/IMG_1596_SecOP_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_5072_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7799_SecG_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_5149_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3127_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5147_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3602_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6760_SecQN_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6185_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6229_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4660_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7054_SecEFG_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0889_SecHKL_Sum12_Pt2.jpg,8A
gs://tamucc_coastline/esi_images/IMG_6526_SecEFG_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4741_SecJMO_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0910_SecABD_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_5606_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3442_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7298_SecG_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_1017_SecHKL_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_2674_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0450_SecABD_Sum12_Pt1.jpg,9
gs://tamucc_coastline/esi_images/IMG_7952_SecG_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_6215_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6750_SecG_Spr12.jpg,8C
gs://tamucc_coastline/esi_images/IMG_9742_SecQN_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3350_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8070_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4995_SecFG_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_7330_SecQN_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_9280_SecBC_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_8796_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_7181_SecI_Sum12_Pt2.jpg,10D
gs://tamucc_coastline/esi_images/IMG_0096_SecMO_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_6078_SecJMO_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0545_SecABD_Sum12_Pt1.jpg,8C
gs://tamucc_coastline/esi_images/IMG_4989_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3818_SecABD_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_9347_SecMO_Sum12_Pt3.jpg,8C
gs://tamucc_coastline/esi_images/IMG_4594_SecC_Sum12_Pt1.jpg,1
gs://tamucc_coastline/esi_images/IMG_0052_SecHKL_Sum12_Pt2.jpg,10B
gs://tamucc_coastline/esi_images/IMG_3140_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6739_SecEFG_Sum12_Pt1.jpg,8C
gs://tamucc_coastline/esi_images/IMG_9200_SecEFG_Sum12_Pt1.jpg,3B
gs://tamucc_coastline/esi_images/IMG_9956_SecABD_Sum12_Pt1.jpg,9
gs://tamucc_coastline/esi_images/IMG_2630_SecDE_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_7962_SecQN_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5881_SecJMO_Sum12_Pt3.jpg,6A
gs://tamucc_coastline/esi_images/IMG_6619_SecMO_Sum12_Pt3.jpg,3A
gs://tamucc_coastline/esi_images/IMG_1644_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8901_SecEFG_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6257_SecFG2_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_9040_SecQN_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5448_SABay_2013.JPG,10A
gs://tamucc_coastline/esi_images/IMG_5945_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7206_SecI_Sum12_Pt2.jpg,10D
gs://tamucc_coastline/esi_images/IMG_6017_SecFG2_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0971_SecHKL_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_5852_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_9282_SecMO_Sum12_Pt3.jpg,10D
gs://tamucc_coastline/esi_images/IMG_1395_SecOP_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3088_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0653_SecBC_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_9887_SecABD_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8109_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_9244_SecEFG_Sum12_Pt1.jpg,3B
gs://tamucc_coastline/esi_images/IMG_8243_SecQN_Sum12_Pt3.jpg,10B
gs://tamucc_coastline/esi_images/IMG_8151_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8674_SecQN_Sum12_Pt3.jpg,6A
gs://tamucc_coastline/esi_images/IMG_6702_SecI_Sum12_Pt2.jpg,6A
gs://tamucc_coastline/esi_images/IMG_6056_SecFG2_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7924_SecQN_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5308_SABay_2013.JPG,2A
gs://tamucc_coastline/esi_images/IMG_2031_SecHKL_Sum12_Pt2.jpg,6A
gs://tamucc_coastline/esi_images/IMG_1871_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_1871_SecOP_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5245_SecFG_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_2786_SecHKL_Sum12_Pt2.jpg,6B
gs://tamucc_coastline/esi_images/IMG_4497_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6601_SecMO_Sum12_Pt3.jpg,3A
gs://tamucc_coastline/esi_images/IMG_5137_SecEGH_Sum12_Pt2.jpg,6A
gs://tamucc_coastline/esi_images/IMG_2244_SecABD_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_9194_SecEFG_Sum12_Pt1.jpg,3B
gs://tamucc_coastline/esi_images/IMG_6558_SecI_Sum12_Pt2.jpg,6A
gs://tamucc_coastline/esi_images/IMG_4730_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4173_SecFG_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_4798_SABay_2013.JPG,10B
gs://tamucc_coastline/esi_images/IMG_8464_SecEFG_Sum12_Pt1.jpg,8C
gs://tamucc_coastline/esi_images/IMG_9648_SecMO_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3058_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_9940_SecBC_Spr12.jpg,6B
gs://tamucc_coastline/esi_images/IMG_5180_SecJMO_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8256_SecQN_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_2302_SecABD_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_8468_SecG_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_1394_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4507_SecOPQ_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_5983_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_9310_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_2497_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_9456_SecBC_Spr12.jpg,3A
gs://tamucc_coastline/esi_images/IMG_3682_SecHKL_Sum12_Pt2.jpg,6A
gs://tamucc_coastline/esi_images/IMG_2758_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6604_SecEFG_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_2062_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_2967_SecABD_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_4209_SecEGH_Sum12_Pt2.jpg,2A
gs://tamucc_coastline/esi_images/IMG_6013_SecC_Sum12_Pt1.jpg,2A
gs://tamucc_coastline/esi_images/IMG_0066_SecABD_Sum12_Pt1.jpg,8B
gs://tamucc_coastline/esi_images/IMG_2997_SecEGH_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_0572_SecOP_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6743_SecG_Spr12.jpg,8C
gs://tamucc_coastline/esi_images/IMG_3842_SABay_2013.JPG,10A
gs://tamucc_coastline/esi_images/IMG_5158_SecJMO_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7541_SecG_Spr12.jpg,7
gs://tamucc_coastline/esi_images/IMG_3735_SecABD_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_7898_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_9261_SecEFG_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_0296_SecABD_Sum12_Pt1.jpg,6B
gs://tamucc_coastline/esi_images/IMG_0625_SecABD_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_2329_SecOP_Sum12_Pt3.jpg,1
gs://tamucc_coastline/esi_images/IMG_1116_SecOP_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_1551_SecOP_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_1086_SecABD_Sum12_Pt1.jpg,1
gs://tamucc_coastline/esi_images/IMG_6379_SecFG2_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_3824_SecOPQ_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_1652_SecBC_Spr12.jpg,7
gs://tamucc_coastline/esi_images/IMG_4745_SABay_2013.JPG,10C
gs://tamucc_coastline/esi_images/IMG_3803_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4595_SABay_2013.JPG,10A
gs://tamucc_coastline/esi_images/IMG_3543_SecDE_Spr12.jpg,5
gs://tamucc_coastline/esi_images/IMG_2882_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5158_SABay_2013.JPG,2A
gs://tamucc_coastline/esi_images/IMG_3714_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5425_SABay_2013.JPG,10D
gs://tamucc_coastline/esi_images/IMG_1710_SecOP_Sum12_Pt3.jpg,10B
gs://tamucc_coastline/esi_images/IMG_0347_SecEFG_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_6402_SecFG2_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_9790_SecEFG_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_7756_SecAB_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_3825_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5973_SecOPQ_Sum12_Pt3.jpg,6A
gs://tamucc_coastline/esi_images/IMG_7700_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_4326_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7046_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5249_SecFG_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_1270_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_9835_SecBC_Spr12.jpg,2A
gs://tamucc_coastline/esi_images/IMG_4818_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_2160_SecABD_Sum12_Pt1.jpg,8A
gs://tamucc_coastline/esi_images/IMG_7145_SecQN_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_9282_SecBC_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_5358_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8276_SecI_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_8808_SecAB_Spr12.jpg,7
gs://tamucc_coastline/esi_images/IMG_3973_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6041_SecOPQ_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_1165_SecEFG_Sum12_Pt1.jpg,8C
gs://tamucc_coastline/esi_images/IMG_7822_SecQN_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0198_SecHKL_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_7619_SecAB_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_9853_SecMO_Sum12_Pt3.jpg,6B
gs://tamucc_coastline/esi_images/IMG_9856_SecABD_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_2980_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7599_SecAB_Spr12.jpg,8C
gs://tamucc_coastline/esi_images/IMG_7482_SecI_Sum12_Pt2.jpg,3A
gs://tamucc_coastline/esi_images/IMG_5960_SecOPQ_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_6490_SecEFG_Sum12_Pt1.jpg,6A
gs://tamucc_coastline/esi_images/IMG_2738_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7906_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3330_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0401_SecHKL_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_2162_SecHKL_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_8340_SecI_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_8973_SecAB_Spr12.jpg,7
gs://tamucc_coastline/esi_images/IMG_1312_SecEFG_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3584_SecABD_Sum12_Pt1.jpg,3B
gs://tamucc_coastline/esi_images/IMG_9312_SecMO_Sum12_Pt3.jpg,10D
gs://tamucc_coastline/esi_images/IMG_2626_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_1833_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_9439_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_5398_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4666_SecC_Sum12_Pt1.jpg,10B
gs://tamucc_coastline/esi_images/IMG_5899_SecJMO_Sum12_Pt3.jpg,1
gs://tamucc_coastline/esi_images/IMG_8254_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5907_SecOPQ_Sum12_Pt3.jpg,6B
gs://tamucc_coastline/esi_images/IMG_4448_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_1190_SecOP_Sum12_Pt3.jpg,6A
gs://tamucc_coastline/esi_images/IMG_1523_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8146_SecQN_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_3488_SecABD_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4572_SecC_Sum12_Pt1.jpg,2A
gs://tamucc_coastline/esi_images/IMG_9828_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_8184_SecMO_Sum12_Pt3.jpg,10D
gs://tamucc_coastline/esi_images/IMG_5275_SecJMO_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0509_SecOP_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_2932_SecABD_Sum12_Pt1.jpg,6B
gs://tamucc_coastline/esi_images/IMG_5107_SecFG_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8118_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_1980_SecEGH_Sum12_Pt2.jpg,8A
gs://tamucc_coastline/esi_images/IMG_0335_SecHKL_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_0091_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_8285_SecG_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_4635_SecOPQ_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_8688_SecAB_Spr12.jpg,7
gs://tamucc_coastline/esi_images/IMG_6264_SecEFG_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3767_SecABD_Sum12_Pt1.jpg,8B
gs://tamucc_coastline/esi_images/IMG_6190_SecFG2_Spr12.jpg,1
gs://tamucc_coastline/esi_images/IMG_2684_SecDE_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8354_SecQN_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_6910_SecEFG_Sum12_Pt1.jpg,3B
gs://tamucc_coastline/esi_images/IMG_6658_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8672_SecG_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4314_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5435_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4614_SecEGH_Sum12_Pt2.jpg,6A
gs://tamucc_coastline/esi_images/IMG_2450_SecDE_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_3648_SecABD_Sum12_Pt1.jpg,9
gs://tamucc_coastline/esi_images/IMG_3571_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7934_SecQN_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_4412_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5912_SecOPQ_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_3621_SecDE_Spr12.jpg,5
gs://tamucc_coastline/esi_images/IMG_1444_SecABD_Sum12_Pt1.jpg,6A
gs://tamucc_coastline/esi_images/IMG_4626_SABay_2013.JPG,10B
gs://tamucc_coastline/esi_images/IMG_4480_SecC_Sum12_Pt1.jpg,2A
gs://tamucc_coastline/esi_images/IMG_9781_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_8564_SecG_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_8402_SecG_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_4537_SecFG_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8353_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_7694_SecQN_Sum12_Pt3.jpg,8B
gs://tamucc_coastline/esi_images/IMG_3452_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5205_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7584_SecMO_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0568_SecOP_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_8132_SecAB_Spr12.jpg,3A
gs://tamucc_coastline/esi_images/IMG_9491_SecQN_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_0145_SecBC_Spr12.jpg,7
